,f1-score,precision,recall,support
Green,0.8435754189944135,0.7587939698492462,0.949685534591195,159.0
GreenRed,0.8687499999999999,0.9144736842105263,0.8273809523809523,168.0
GreenWhite,0.6956521739130435,0.7619047619047619,0.64,25.0
GreenYellow,0.7499999999999999,1.0,0.6,5.0
Purple,0.9325153374233128,0.9620253164556962,0.9047619047619048,168.0
PurpleWhite,0.8181818181818182,0.8181818181818182,0.8181818181818182,11.0
Red,0.6206896551724138,0.6428571428571429,0.6,15.0
RedYellow,0.8571428571428572,0.7894736842105263,0.9375,48.0
White,0.8758620689655171,0.900709219858156,0.8523489932885906,149.0
Yellow,0.9253731343283582,1.0,0.8611111111111112,36.0
YellowPurple,0.7272727272727272,0.8,0.6666666666666666,18.0
micro avg,0.8653366583541147,0.8653366583541147,0.8653366583541147,802.0
macro avg,0.8104559264904055,0.8498563270479885,0.7870579073620216,802.0
weighted avg,0.8656401057706855,0.8741782545005015,0.8653366583541147,802.0
