,f1-score,precision,recall,support
Green,0.7604166666666666,0.6822429906542056,0.8588235294117647,85.0
GreenRed,0.41666666666666663,0.5,0.35714285714285715,14.0
GreenWhite,0.36363636363636365,0.6666666666666666,0.25,8.0
Purple,0.8732394366197184,0.8794326241134752,0.8671328671328671,143.0
PurpleWhite,0.8034188034188035,0.8703703703703703,0.746031746031746,126.0
PurpleYellow,0.7272727272727272,0.7619047619047619,0.6956521739130435,23.0
RedYellow,0.7272727272727273,0.7272727272727273,0.7272727272727273,22.0
White,0.8633093525179857,0.8108108108108109,0.9230769230769231,260.0
WhiteYellow,0.45161290322580644,0.6363636363636364,0.35,20.0
Yellow,0.826086956521739,0.9156626506024096,0.7524752475247525,101.0
micro avg,0.814214463840399,0.814214463840399,0.814214463840399,802.0
macro avg,0.6812932603819204,0.7450727238759064,0.6527608071506681,802.0
weighted avg,0.8093972501641404,0.817073990307445,0.814214463840399,802.0
