,f1-score,precision,recall,support
Green,0.7783251231527094,0.7314814814814815,0.8315789473684211,95.0
Purple,0.9083969465648855,0.8981132075471698,0.918918918918919,259.0
Red,0.8333333333333333,0.9090909090909091,0.7692307692307693,52.0
Yellow,0.9065300896286811,0.9194805194805195,0.8939393939393939,396.0
micro avg,0.8865336658354115,0.8865336658354115,0.8865336658354115,802.0
macro avg,0.8566463731699022,0.86454152940002,0.8534170073643759,802.0
weighted avg,0.8872006791597303,0.889637249978143,0.8865336658354115,802.0
