,f1-score,precision,recall,support
Green,0.8498727735368957,0.8067632850241546,0.8978494623655914,186.0
Purple,0.9235294117647058,0.9345238095238095,0.9127906976744186,172.0
Red,0.8921568627450981,0.8666666666666667,0.9191919191919192,198.0
White,0.8765432098765432,0.9342105263157895,0.8255813953488372,172.0
Yellow,0.8201438848920863,0.8769230769230769,0.7702702702702703,74.0
micro avg,0.8790523690773068,0.8790523690773068,0.8790523690773068,802.0
macro avg,0.8724492285630658,0.8838174728906996,0.8651367489702073,802.0
weighted avg,0.8790854527502509,0.8827588335052511,0.8790523690773068,802.0
