,f1-score,precision,recall,support
Green,0.8324607329842931,0.8112244897959183,0.8548387096774194,186.0
Purple,0.9174311926605504,0.967741935483871,0.872093023255814,172.0
Red,0.8893709327548808,0.8613445378151261,0.9192825112107623,223.0
Yellow,0.8525345622119817,0.8685446009389671,0.8371040723981901,221.0
micro avg,0.871571072319202,0.871571072319202,0.871571072319202,802.0
macro avg,0.8729493551529265,0.8772138910084706,0.8708295791355464,802.0
weighted avg,0.8720395482866329,0.8745231380867226,0.871571072319202,802.0
