,f1-score,precision,recall,support
Green,0.751131221719457,0.664,0.8645833333333334,96.0
Purple,0.9122807017543859,0.9212598425196851,0.9034749034749034,259.0
Red,0.8076923076923077,0.8076923076923077,0.8076923076923077,26.0
White,0.8854166666666666,0.8762886597938144,0.8947368421052632,285.0
Yellow,0.8264462809917356,0.9433962264150944,0.7352941176470589,136.0
micro avg,0.8640897755610972,0.8640897755610972,0.8640897755610972,802.0
macro avg,0.8365934357649106,0.8425274072841804,0.8411563008505734,802.0
weighted avg,0.8654984329854486,0.87455667586819,0.8640897755610972,802.0
